session_date,session_name,side,entry_price,initial_stop,risk_points,r_multiple,applied_rr,applied_sl_default,regime_bucket,gamma_regime,exit_category,pnl_points,entry_time_utc,exit_bar_utc,hold_minutes
2025-05-05,ASIA,sell,20017,20025,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-06T16:14:00.000Z,2025-05-06T16:14:00.000Z,0
2025-05-06,NY,sell,19845.5,19853.5,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-05-06T13:35:00.000Z,2025-05-06T13:35:00.000Z,0
2025-05-08,ASIA,sell,20129.25,20137.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-09T01:00:00.000Z,2025-05-09T01:16:00.000Z,16
2025-05-08,NY,sell,20205,20213,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-05-08T15:29:00.000Z,2025-05-08T15:29:00.000Z,0
2025-05-12,ASIA,sell,20898,20906,8,-0.8125,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,-6.5,2025-05-13T10:43:00.000Z,2025-05-13T10:44:00.000Z,1
2025-05-12,NY,sell,20921.5,20929.5,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-05-12T13:30:00.000Z,2025-05-12T13:30:00.000Z,0
2025-05-13,ASIA,sell,21288.75,21296.75,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-14T02:24:00.000Z,2025-05-14T03:20:00.000Z,56
2025-05-14,ASIA,sell,21380.25,21388.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-15T00:31:00.000Z,2025-05-15T00:43:00.000Z,12
2025-05-14,NY,buy,21345.5,21337.5,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-14T13:32:00.000Z,2025-05-14T13:32:00.000Z,0
2025-05-15,ASIA,buy,21421.5,21413.5,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-16T00:22:00.000Z,2025-05-16T00:26:00.000Z,4
2025-05-15,NY,buy,21277.5,21269.5,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-15T13:46:00.000Z,2025-05-15T13:46:00.000Z,0
2025-05-16,NY,sell,21478.75,21488.25,9.5,0.10526315789473684,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,1,2025-05-16T18:40:00.000Z,2025-05-16T18:41:00.000Z,1
2025-05-19,ASIA,sell,21547,21555,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-05-20T00:34:00.000Z,2025-05-20T00:55:00.000Z,21
2025-05-20,NY,sell,21465.25,21473.25,8,0.5625,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,4.5,2025-05-20T16:44:00.000Z,2025-05-20T16:45:00.000Z,1
2025-05-22,ASIA,sell,21189.25,21197.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-23T02:13:00.000Z,2025-05-23T02:25:00.000Z,12
2025-05-26,ASIA,sell,21228.5,21236.5,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-27T00:46:00.000Z,2025-05-27T00:51:00.000Z,5
2025-05-26,NY,buy,21278.75,21270.75,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-26T13:55:00.000Z,2025-05-26T13:55:00.000Z,0
2025-05-27,ASIA,sell,21465.75,21473.75,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-28T00:20:00.000Z,2025-05-28T01:00:00.000Z,40
2025-05-27,NY,sell,21295,21303,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-27T13:59:00.000Z,2025-05-27T14:00:00.000Z,1
2025-05-28,NY,buy,21508.25,21500.25,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-05-28T13:47:00.000Z,2025-05-28T13:47:00.000Z,0
2025-05-29,ASIA,buy,21329.5,21321.5,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-05-30T00:34:00.000Z,2025-05-30T00:44:00.000Z,10
2025-06-01,ASIA,buy,21306.25,21301.25,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2025-06-02T00:19:00.000Z,2025-06-02T00:27:00.000Z,8
2025-06-02,ASIA,sell,21495.5,21503.5,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-06-03T00:16:00.000Z,2025-06-03T02:14:00.000Z,118
2025-06-02,NY,buy,21265,21257,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-06-02T14:00:00.000Z,2025-06-02T14:00:00.000Z,0
2025-06-03,ASIA,sell,21712.5,21720.5,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-06-04T00:34:00.000Z,2025-06-04T01:50:00.000Z,76
2025-06-03,NY,buy,21525.75,21517.75,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-06-03T13:34:00.000Z,2025-06-03T13:34:00.000Z,0
2025-06-04,ASIA,buy,21746,21738,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-06-05T00:50:00.000Z,2025-06-05T01:25:00.000Z,35
2025-06-04,NY,sell,21757,21763,6,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-6,2025-06-04T13:34:00.000Z,2025-06-04T13:36:00.000Z,2
2025-06-05,NY,buy,21767,21759,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-06-05T13:32:00.000Z,2025-06-05T13:32:00.000Z,0
2025-06-08,ASIA,sell,21769.75,21774.75,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2025-06-09T07:01:00.000Z,2025-06-09T07:01:00.000Z,0
2025-06-09,ASIA,sell,21825.25,21833.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-06-10T00:16:00.000Z,2025-06-10T00:22:00.000Z,6
2025-06-09,NY,sell,21807.5,21815.5,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-06-09T13:31:00.000Z,2025-06-09T13:31:00.000Z,0
2025-06-10,ASIA,sell,21951.5,21959.5,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-06-11T00:15:00.000Z,2025-06-11T00:33:00.000Z,18
2025-06-10,NY,sell,21855,21863,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-06-10T13:31:00.000Z,2025-06-10T13:31:00.000Z,0
2025-06-11,ASIA,sell,21834,21842,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-06-12T00:26:00.000Z,2025-06-12T00:28:00.000Z,2
2025-06-13,NY,buy,21677.25,21669.25,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-06-13T13:30:00.000Z,2025-06-13T13:30:00.000Z,0
2025-06-15,ASIA,buy,21909.25,21904.25,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2025-06-16T00:17:00.000Z,2025-06-16T00:18:00.000Z,1
2025-06-16,NY,buy,22034.75,22026.75,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-06-16T13:30:00.000Z,2025-06-16T13:30:00.000Z,0
2025-06-17,NY,buy,22078,22070,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-06-17T13:30:00.000Z,2025-06-17T13:30:00.000Z,0
2025-06-18,NY,sell,22001,22009,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-06-18T13:49:00.000Z,2025-06-18T13:50:00.000Z,1
2025-06-20,NY,buy,21978.25,21970.25,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-06-20T14:08:00.000Z,2025-06-20T14:08:00.000Z,0
2025-06-23,ASIA,sell,22238.5,22246.5,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-06-24T00:20:00.000Z,2025-06-24T00:47:00.000Z,27
2025-06-23,NY,buy,21830.5,21822.5,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-06-23T13:31:00.000Z,2025-06-23T13:31:00.000Z,0
